Customer_ID,Customer_Name,Transaction_Count,Total_Transaction_Amount,Average_Transaction_Amount,Account_Balance
CUST0027,Keerthana S,1,21787.315000000002,21787.315000000002,33823.73
CUST0039,Ajay K,1,21787.315000000002,21787.315000000002,244913.1
CUST0099,Ajay K,1,21623.22,21623.22,195364.7
CUST0033,Pooja M,1,21351.52,21351.52,163330.83
CUST0098,Arun Kumar,1,20888.82,20888.82,1413.52
CUST0105,Ajay K,1,20759.9,20759.9,80091.27
CUST0064,Vijay M,1,20649.36,20649.36,102786.99
CUST0089,Sneha K,1,20456.3,20456.3,35068.5
CUST0011,Vijay M,1,20378.7,20378.7,203691.08
CUST0124,Ajay K,1,20302.26,20302.26,190243.73
CUST0137,Karthik Raj,1,20216.7,20216.7,140892.91
CUST0029,Priya S,1,19939.15,19939.15,75936.22
CUST0118,Suresh B,1,19765.94,19765.94,33646.06
CUST0071,Rahul P,1,19453.3,19453.3,160581.27
CUST0038,Divya R,1,18743.35,18743.35,131414.48
CUST0070,Rahul P,1,18309.48,18309.48,117204.16
CUST0138,Suresh B,1,17183.89,17183.89,102631.01
CUST0076,Keerthana S,1,16988.98,16988.98,211275.24
CUST0143,Dinesh V,1,16178.56,16178.56,136592.55
CUST0134,Priya S,1,16025.91,16025.91,181818.85
CUST0015,Vijay M,1,15367.24,15367.24,145225.67
CUST0093,Vijay M,1,15039.23,15039.23,61101.64
CUST0121,Divya R,1,14809.22,14809.22,191436.08
CUST0054,Pooja M,1,14267.03,14267.03,209387.25
CUST0133,Meena V,1,14116.73,14116.73,16453.71
CUST0140,Keerthana S,1,13830.11,13830.11,35524.97
CUST0025,Sneha K,1,13196.78,13196.78,234266.47
CUST0145,Dinesh V,1,12087.29,12087.29,161559.98
CUST0087,Meena V,1,11959.15,11959.15,213342.5
CUST0092,Dinesh V,1,11831.35,11831.35,82010.34
CUST0010,Arun Kumar,1,11773.58,11773.58,117204.16
CUST0074,Meena V,1,11719.33,11719.33,73722.77
CUST0032,Ajay K,1,11708.77,11708.77,133161.63
CUST0065,Suresh B,1,11357.08,11357.08,143542.03
CUST0044,Suresh B,1,10199.99,10199.99,174004.73
CUST0028,Dinesh V,1,10068.81,10068.81,201227.01
CUST0059,Suresh B,1,9732.77,9732.77,68418.93
CUST0095,Dinesh V,1,9340.45,9340.45,140980.51
CUST0113,Pooja M,1,9004.24,9004.24,50685.96
CUST0078,Meena V,1,8957.58,8957.58,85375.05
CUST0135,Anitha J,1,8944.05,8944.05,169845.42
CUST0107,Pooja M,1,8729.9,8729.9,117204.16
CUST0123,Suresh B,1,8349.04,8349.04,64060.61
CUST0023,Dinesh V,1,8313.93,8313.93,12182.74
CUST0127,Keerthana S,1,8146.58,8146.58,235064.73
CUST0131,Karthik Raj,1,7728.57,7728.57,230245.8
CUST0041,Ajay K,1,7074.44,7074.44,119991.44
CUST0007,Rahul P,1,7073.65,7073.65,50777.14
CUST0108,Divya R,1,6432.81,6432.81,224428.25
CUST0052,Ajay K,1,6183.89,6183.89,147476.24
CUST0048,Keerthana S,1,6074.71,6074.71,30158.79
CUST0017,Rahul P,1,5259.81,5259.81,147323.5
CUST0125,Arun Kumar,1,5109.74,5109.74,66870.41
CUST0045,Pooja M,1,4316.21,4316.21,234049.02
CUST0073,Ajay K,1,4094.46,4094.46,189077.21
CUST0068,Keerthana S,1,3695.75,3695.75,210656.31
CUST0122,Keerthana S,1,3683.92,3683.92,117204.16
CUST0036,Karthik Raj,1,2763.76,2763.76,148194.81
CUST0097,Divya R,1,2642.93,2642.93,28788.49
CUST0101,Pooja M,1,2463.96,2463.96,35413.14
CUST0120,Divya R,1,2354.14,2354.14,120891.34
CUST0004,Rahul P,1,2285.81,2285.81,39418.08
CUST0060,Meena V,1,2213.29,2213.29,117204.16
CUST0055,Dinesh V,1,1547.08,1547.08,60966.19
CUST0142,Anitha J,1,1259.06,1259.06,100615.3
CUST0139,Priya S,1,1086.35,1086.35,82310.16
CUST0069,Vijay M,1,832.67,832.67,206966.18
CUST0079,Arun Kumar,1,464.99,464.99,70227.5
CUST0056,Keerthana S,1,370.95,370.95,13862.82
CUST0086,Sneha K,1,324.56,324.56,129142.71
